"","Ecoregion","Year","Indicator_Name","Indicator_Number","Ecoregion_name","Value","SE","CV","CI_Lower","CI_Upper","Indicator","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption","BLM.Sample","BLM.Acres","Value2","CI_Lower2","CI_Upper2","Flag"
"1","All BLM Range","2011","65. Estimated BLM range acres that meet this condition",25,"All.BLM.Range",84116084,3543393,0.04,79573454,88658715,"SOIL AGGREGATE STABILITY IS 4 OR LESS (1=LOW; 6=HIGH RESISTANCE TO EROSION)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) where soil aggregate stability is ranked 4 or less",49,"BLM rangeland acres (millions) where soil aggregate stability is ranked 4 or less","",1079,151105636,84.116084,79.573454,88.658715,NA
"2","All BLM Range","2011","Estimated % of BLM range acres with HF >= 3",7,"All.BLM.Range",10.34,0.94,0.09,9.14,11.55,"HYDROLOGIC FUNCTION HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 3)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 3) (80% confidence interval) ",13,"Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 3) (80% confidence interval) ","",1079,151105636,10.34,9.14,11.55,NA
"3","All BLM Range","2011","25. Estimated % of BLM range acres with SSS >= 4",12,"All.BLM.Range",2.76,0.58,0.21,2.01,3.51,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ",23,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4) (80% confidence interval) ","",1079,151105636,2.76,2.01,3.51,NA
"4","All BLM Range","2011","7. Estimated % of BLM range acres with BI >= 4",4,"All.BLM.Range",3.38,0.68,0.2,2.51,4.26,"BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval)",7,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4) (80% confidence interval)","",1079,151105636,3.38,2.51,4.26,NA
"5","All BLM Range","2011","9. Estimated BLM range acres with BI >= 4",4,"All.BLM.Range",4617413,938111,0.2,3414754,5820072,"BIOTIC INTEGRITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4)",8,"BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >= 4)","",1079,151105636,4.617413,3.414754,5.820072,NA
"6","All BLM Range","2011","50. Estimated % of BLM range acres that meet this condition",21,"All.BLM.Range",45.5,2.84,0.06,41.86,49.14,"AT LEAST 20% OF THE LAND IS BARE GROUND","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with at least 20% bare ground (80% confidence interval) ",40,"Proportion of BLM rangelands with at least 20% bare ground (80% confidence interval) ","",1079,151105636,45.5,41.86,49.14,NA
"7","All BLM Range","2011","16. Estimated % of BLM range acres with HF >= 4",8,"All.BLM.Range",2.99,0.6,0.2,2.22,3.77,"HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ",15,"Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ","",1079,151105636,2.99,2.22,3.77,NA
"8","All BLM Range","2011","Estimated % of BLM range acres with BI >= 3",3,"All.BLM.Range",11.48,1.07,0.09,10.11,12.85,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval)",5,"Proportion of BLM rangelands with moderate or moderate-to-extreme or extreme-to-total departure from biotic integrity reference conditions (BI >=3) (80% confidence interval)","",1079,151105636,11.48,10.11,12.85,NA
"9","All BLM Range","2011","31. Estimated % of BLM range acres with all 3 rangeland health attributes >= 4",14,"All.BLM.Range",1.98,0.5,0.25,1.34,2.63,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where all 3 rangeland health attributes had moderate-to-extreme or extreme-to-total departure from reference conditions (>= 4) (80% confidence interval) ",27,"Proportion of BLM rangelands where all 3 rangeland health attributes had moderate-to-extreme or extreme-to-total departure from reference conditions (>= 4) (80% confidence interval) ","",1079,151105636,1.98,1.34,2.63,NA
"10","All BLM Range","2011","1. Estimated % of BLM range acres with BI <= 2",1,"All.BLM.Range",88.52,1.07,0.01,87.15,89.89,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ","",1079,151105636,88.52,87.15,89.89,NA
