Indicator_Name,Indicator_Number,State,Type,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
1. Estimated % of BLM range acres with BI <= 2,1,BLM,NA,88.36,0.91,0.01,87.20,89.52,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2018,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,NA,88.52,1.07,0.01,87.15,89.89,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2011,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,1,92.50,1.73,0.02,90.28,94.71,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2011,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,2,86.30,1.60,0.02,84.25,88.34,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2011,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,1,90.82,1.03,0.01,89.50,92.14,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2015,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,2,81.84,1.68,0.02,79.69,83.99,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2015,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,NA,83.06,1.83,0.02,80.71,85.41,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2012,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,NA,94.12,1.19,0.01,92.60,95.64,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2019,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,2,78.10,2.95,0.04,74.32,81.88,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2012,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,1,96.71,0.74,0.01,95.76,97.66,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2019,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,1,87.86,1.27,0.01,86.23,89.48,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2018,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,1,91.10,0.80,0.01,90.08,92.12,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2012,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,NA,84.82,1.25,0.02,83.23,86.42,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2015,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,1,90.04,0.94,0.01,88.84,91.24,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2016,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,2,82.64,1.65,0.02,80.53,84.75,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2016,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,2,88.66,1.48,0.02,86.77,90.56,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2018,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,1,93.99,0.51,0.01,93.34,94.64,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2014,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,BLM,2,79.47,1.82,0.02,77.15,81.80,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2014,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
