Indicator_Name,Indicator_Number,Ecoregion_name,Ecoregion,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
1. Estimated % of BLM range acres with BI <= 2,1,All.BLM.Range,All BLM Range,88.52,1.07,0.01,87.15,89.89,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2011,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,All.BLM.Range,All BLM Range,85.41,1.04,0.01,84.08,86.75,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2016,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,All.BLM.Range,All BLM Range,85.88,1.42,0.02,84.07,87.7,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2017,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,All.BLM.Range,All BLM Range,83.06,1.83,0.02,80.71,85.41,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2012,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,All.BLM.Range,All BLM Range,88.36,0.91,0.01,87.2,89.52,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2018,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,All.BLM.Range,All BLM Range,84.82,1.25,0.02,83.23,86.42,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2015,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,All.BLM.Range,All BLM Range,84.57,1.2,0.01,83.04,86.1,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2014,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
1. Estimated % of BLM range acres with BI <= 2,1,All.BLM.Range,All BLM Range,94.12,1.19,0.01,92.6,95.64,BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2),2019,Year,Percent of rangeland acres on BLM-administered lands,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,1,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,94.48,0.89,0.01,93.34,95.62,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
10. Estimated % of BLM range acres with HF <= 2,5,All.BLM.Range,All BLM Range,85.16,1.5,0.02,83.23,87.09,HYDROLOGIC FUNCTION HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF <= 2),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,9,Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from hydrologic function reference conditions (HF <=2) (80% confidence interval) ,
