"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption"
"1. Estimated % of BLM range acres with BI <= 2",1,"BLM",NA,83.06,1.83,0.02,80.71,85.41," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"AZ",2,100,0,0,100,100," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"CA",1,100,96.55,0.97,0,100," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"CA",2,50,48.28,0.97,0,100," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"CO",1,89.98,5.66,0.06,82.73,97.23," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"CO",2,95.46,4.84,0.05,89.25,100," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"ID",1,90.37,3.44,0.04,85.96,94.77," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"ID",2,94.1,5.06,0.05,87.61,100," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"MT",1,96.63,1.76,0.02,94.38,98.88," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
"1. Estimated % of BLM range acres with BI <= 2",1,"MT",2,100,0,0,100,100," ESTIMATED % OF BLM RANGE ACRES WITH BI <= ",2012,"Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",1,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from biotic integrity reference conditions (BI <=2) (80% confidence interval) ",""
