"","Vars","Indicator","State","Type","NResp","Year"
"1","38. Number of BLM range points that meet this condition",17,"BLM","NA",890,"2020"
"2","38. Number of BLM range points that meet this condition",17,"AZ","2",41,"2020"
"3","38. Number of BLM range points that meet this condition",17,"CA","1",0,"2020"
"4","38. Number of BLM range points that meet this condition",17,"CA","2",0,"2020"
"5","38. Number of BLM range points that meet this condition",17,"CO","1",47,"2020"
"6","38. Number of BLM range points that meet this condition",17,"CO","2",11,"2020"
"7","38. Number of BLM range points that meet this condition",17,"ID","1",0,"2020"
"8","38. Number of BLM range points that meet this condition",17,"ID","2",0,"2020"
"9","38. Number of BLM range points that meet this condition",17,"MT","1",95,"2020"
"10","38. Number of BLM range points that meet this condition",17,"MT","2",1,"2020"
"11","38. Number of BLM range points that meet this condition",17,"NV","1",217,"2020"
"12","38. Number of BLM range points that meet this condition",17,"NV","2",116,"2020"
"13","38. Number of BLM range points that meet this condition",17,"NM","2",8,"2020"
"14","38. Number of BLM range points that meet this condition",17,"OR","1",141,"2020"
"15","38. Number of BLM range points that meet this condition",17,"OR","2",9,"2020"
"16","38. Number of BLM range points that meet this condition",17,"SD","2",2,"2020"
"17","38. Number of BLM range points that meet this condition",17,"UT","1",11,"2020"
"18","38. Number of BLM range points that meet this condition",17,"UT","2",69,"2020"
"19","38. Number of BLM range points that meet this condition",17,"WA","2",2,"2020"
"20","38. Number of BLM range points that meet this condition",17,"WY","1",117,"2020"
"21","38. Number of BLM range points that meet this condition",17,"WY","2",3,"2020"
"22","41. Number of BLM range points that meet this condition",18,"BLM","NA",270,"2020"
"23","41. Number of BLM range points that meet this condition",18,"AZ","2",13,"2020"
"24","41. Number of BLM range points that meet this condition",18,"CA","1",0,"2020"
"25","41. Number of BLM range points that meet this condition",18,"CA","2",0,"2020"
"26","41. Number of BLM range points that meet this condition",18,"CO","1",12,"2020"
"27","41. Number of BLM range points that meet this condition",18,"CO","2",3,"2020"
"28","41. Number of BLM range points that meet this condition",18,"ID","1",0,"2020"
"29","41. Number of BLM range points that meet this condition",18,"ID","2",0,"2020"
"30","41. Number of BLM range points that meet this condition",18,"MT","1",20,"2020"
"31","41. Number of BLM range points that meet this condition",18,"MT","2",0,"2020"
"32","41. Number of BLM range points that meet this condition",18,"NV","1",61,"2020"
"33","41. Number of BLM range points that meet this condition",18,"NV","2",44,"2020"
"34","41. Number of BLM range points that meet this condition",18,"NM","2",2,"2020"
"35","41. Number of BLM range points that meet this condition",18,"OR","1",45,"2020"
"36","41. Number of BLM range points that meet this condition",18,"OR","2",3,"2020"
"37","41. Number of BLM range points that meet this condition",18,"SD","2",0,"2020"
"38","41. Number of BLM range points that meet this condition",18,"UT","1",3,"2020"
"39","41. Number of BLM range points that meet this condition",18,"UT","2",37,"2020"
"40","41. Number of BLM range points that meet this condition",18,"WA","2",1,"2020"
"41","41. Number of BLM range points that meet this condition",18,"WY","1",25,"2020"
"42","41. Number of BLM range points that meet this condition",18,"WY","2",1,"2020"
