"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year"
"1. Estimated % of BLM range acres with BI <= 2",1,"BLM","NA",90.49,1.23,0.014,88.92,92.07,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"AZ","2",100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"CA","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"CA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"CO","1",94.41,4.28,0.045,88.93,99.89,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"CO","2",100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"ID","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"ID","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"MT","1",97.1,1.79,0.018,94.8,99.4,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"MT","2",74.88,36.28,0.485,28.38,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"NV","1",96.36,2.15,0.022,93.6,99.12,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"NV","2",96.87,1.55,0.016,94.89,98.85,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"NM","2",25.04,8.65,0.345,13.96,36.12,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"OR","1",94.59,2.09,0.022,91.91,97.26,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"OR","2",100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"SD","2",100,98.26,0.983,0,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"UT","1",96.42,3.91,0.041,91.4,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"UT","2",100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"WA","2",100,98.26,0.983,0,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"WY","1",98.45,0.92,0.009,97.27,99.62,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"1. Estimated % of BLM range acres with BI <= 2",1,"WY","2",100,0,0,100,100,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"BLM","NA",134811328,2409271,0.018,131723723,137898933,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"AZ","2",12639885,1312594,0.104,10957728,14322042,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"CA","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"CA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"CO","1",1581161,150602,0.095,1388157,1774166,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
"3. Estimated BLM range acres with BI <= 2",1,"CO","2",6072375,459708,0.076,5483236,6661514,"BIOTIC INTEGRITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI <= 2)","2020"
